Threshold,Accuracy,Precision,Recall,F1-score
0.87,0.949438202247191,1.0,0.6582278481012658,0.7938931297709924
0.88,0.947565543071161,1.0,0.6455696202531646,0.7846153846153846
0.89,0.9456928838951311,1.0,0.6329113924050633,0.7751937984496124
0.9,0.9438202247191011,1.0,0.620253164556962,0.765625
0.91,0.9419475655430711,1.0,0.6075949367088608,0.7559055118110236
0.92,0.9325842696629213,1.0,0.5443037974683544,0.7049180327868853
0.93,0.9157303370786517,1.0,0.43037974683544306,0.6017699115044248
0.9400000000000001,0.900749063670412,1.0,0.3291139240506329,0.49523809523809526
0.9500000000000001,0.897003745318352,1.0,0.3037974683544304,0.46601941747572817
0.96,0.8782771535580525,1.0,0.17721518987341772,0.3010752688172043
0.97,0.8614232209737828,1.0,0.06329113924050633,0.11904761904761904
0.98,0.8520599250936329,0.0,0.0,0.0
0.99,0.8520599250936329,0.0,0.0,0.0
1.0,0.8520599250936329,0.0,0.0,0.0
