Threshold,Accuracy,Precision,Recall,F1-score
0.87,0.8838951310861424,1.0,0.21518987341772153,0.3541666666666667
0.88,0.8801498127340824,1.0,0.189873417721519,0.3191489361702128
0.89,0.8801498127340824,1.0,0.189873417721519,0.3191489361702128
0.9,0.8745318352059925,1.0,0.1518987341772152,0.26373626373626374
0.91,0.8689138576779026,1.0,0.11392405063291139,0.20454545454545456
0.92,0.8614232209737828,1.0,0.06329113924050633,0.11904761904761904
0.93,0.8539325842696629,1.0,0.012658227848101266,0.025
0.9400000000000001,0.8520599250936329,0.0,0.0,0.0
0.9500000000000001,0.8520599250936329,0.0,0.0,0.0
0.96,0.8520599250936329,0.0,0.0,0.0
0.97,0.8520599250936329,0.0,0.0,0.0
0.98,0.8520599250936329,0.0,0.0,0.0
0.99,0.8520599250936329,0.0,0.0,0.0
1.0,0.8520599250936329,0.0,0.0,0.0
